NOMBRE_IES,TIPO_IES,TIPO_FINANCIAMIENTO,NOMBRE_CARRERA,CAMPO_AMPLIO,NIVEL_FORMACIÓN,MODALIDAD,PROVINCIA,CANTÓN,ESTADO
ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,ELECTRICIDAD,"INGENIERIA, INDUSTRIA Y CONSTRUCCION",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,CIBERSEGURIDAD,TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC),EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,TRABAJO SOCIAL FORENSE,"CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,CONTRATACION PUBLICA,"CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,DERECHO ADMINISTRATIVO,"CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,DERECHOS HUMANOS,"CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,MARKETING DIGITAL Y COMERCIO ELECTRÓNICO,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,DERECHOS HUMANOS Y JUSTICIA JUVENIL RESTAURATIVA,ADMINISTRACIÓN DE EMPRESAS Y DERECHO,EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,INVESTIGACION EN EDUCACION,EDUCACION,EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
UNIVERSIDAD ANDINA SIMON BOLIVAR,UNIVERSIDAD,PÚBLICA,"CAMBIO CLIMATICO, SUSTENTABILIDAD Y DESARROLLO","CIENCIAS SOCIALES, PERIODISMO, INFORMACION Y DERECHO",EDUCACIÓN SUPERIOR DE POSGRADO O CUARTO NIVEL,EN LÍNEA,PICHINCHA,QUITO,VIGENTE
