epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9724,1.80438,3.16375,1.55686,0.006,0.81818,0.01952,0.01281,1.45784,3.17979,1.3257,2e-05,2e-05,2e-05
2,22.4877,1.83654,3.12466,1.55312,0.006,0.81818,0.1193,0.08183,1.27731,3.03016,1.1943,5.703e-05,5.703e-05,5.703e-05
3,32.0916,1.6158,3.20699,1.22332,0.00667,0.90909,0.27798,0.12599,1.22,2.95183,1.20146,9.01e-05,9.01e-05,9.01e-05
4,41.4514,2.69138,2.82804,1.99798,0.00733,1,0.5411,0.20121,1.14077,2.93028,1.22931,0.00011921,0.00011921,0.00011921
5,50.9114,2.41348,3.12734,2.44712,0.00733,1,0.4685,0.19643,1.29826,2.92431,1.31924,0.00014436,0.00014436,0.00014436
6,60.1348,1.63464,2.86598,1.32295,0.00733,1,0.40929,0.19651,1.3635,2.95413,1.29279,0.00016555,0.00016555,0.00016555
7,69.3091,1.57092,2.62544,1.29314,0.00733,1,0.32332,0.16768,1.49499,3.00239,1.27732,0.00018278,0.00018278,0.00018278
8,78.4599,1.28173,2.45274,1.17738,0.00733,1,0.42427,0.16101,1.52049,3.0075,1.33048,0.00019605,0.00019605,0.00019605
9,87.6161,1.34152,2.3367,1.10938,0.00733,1,0.45218,0.14112,1.60311,2.96439,1.32844,0.00020536,0.00020536,0.00020536
10,96.7368,1.48712,2.21413,1.17495,0.00733,1,0.47426,0.1854,1.53564,2.95894,1.31572,0.00021071,0.00021071,0.00021071
11,107.772,1.75392,2.48382,1.55124,0.00733,1,0.53719,0.2319,1.23355,2.89242,1.26361,0.0002121,0.0002121,0.0002121
12,118.336,1.62331,2.73165,1.24485,0.00733,1,0.64368,0.34431,1.11494,2.79142,1.27785,0.00020953,0.00020953,0.00020953
13,127.292,1.2998,2.18103,1.40334,0.00733,1,0.75945,0.40317,1.12225,2.84231,1.30869,0.000203,0.000203,0.000203
14,137.458,1.259,2.07296,1.11466,0.00733,1,0.76015,0.40458,1.11956,2.82974,1.27213,0.00019251,0.00019251,0.00019251
15,149.177,1.01083,2.2057,1.08988,0.00733,1,0.71418,0.39687,1.12043,2.82355,1.25975,0.00017806,0.00017806,0.00017806
16,158.939,2.1166,2.77147,2.03308,0.00733,1,0.69172,0.38508,1.20816,2.78182,1.26574,0.00015965,0.00015965,0.00015965
17,168.459,1.40206,2.46589,1.14827,0.00733,1,0.65176,0.34241,1.27631,2.66143,1.28517,0.00013728,0.00013728,0.00013728
18,177.467,1.62785,2.0221,1.49399,0.00733,1,0.63054,0.36682,1.23931,2.61947,1.22786,0.00011095,0.00011095,0.00011095
19,187.421,1.80953,2.03443,1.41175,0.01301,1,0.71064,0.43816,1.12939,2.56137,1.15233,8.066e-05,8.066e-05,8.066e-05
20,197.98,1.16464,1.8862,1.26555,0.10655,1,0.74814,0.47341,1.04671,2.53396,1.1341,4.641e-05,4.641e-05,4.641e-05
